42
{
50.1118134, 14.5140019
50.1117790, 14.5127788
50.1106162, 14.5127466
50.1106437, 14.5139375
50.1119992, 14.5152893
50.1112698, 14.5145061
50.1112974, 14.5157936
50.1115038, 14.5152571
50.1106231, 14.5152249
50.1106506, 14.5164158
50.1115932, 14.5164480
50.1115863, 14.5182183
50.1107607, 14.5181539
50.1115726, 14.5173493
50.1107263, 14.5172634
50.1102446, 14.5189479
50.1116345, 14.5189157
50.1112079, 14.5197632
50.1109533, 14.5189800
50.1115382, 14.5201817
50.1106850, 14.5202031
50.1106850, 14.5211365
50.1115244, 14.5210936
50.1104786, 14.5220485
50.1108777, 14.5226600
50.1110428, 14.5219734
50.1115313, 14.5219734
50.1115244, 14.5228102
}
